               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   3,            0.048639,            0.017627,            0.009025,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0089571,           0.0089571,           0.0089571
                   4,            0.044767,            0.016557,           0.0073112,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086406,           0.0086406,           0.0086406
                   5,            0.042423,            0.016418,           0.0062497,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083241,           0.0083241,           0.0083241
                   6,            0.041335,            0.016035,           0.0055283,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080076,           0.0080076,           0.0080076
                   7,            0.039706,            0.015837,           0.0047561,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076912,           0.0076912,           0.0076912
                   8,            0.038456,            0.015599,           0.0039974,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073747,           0.0073747,           0.0073747
                   9,            0.037851,            0.015049,           0.0039553,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070582,           0.0070582,           0.0070582
                  10,            0.036759,            0.015081,           0.0036461,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0067418,           0.0067418,           0.0067418
                  11,            0.035834,            0.014797,           0.0035269,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0064253,           0.0064253,           0.0064253
                  12,            0.035632,            0.014618,           0.0036132,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061088,           0.0061088,           0.0061088
                  13,            0.035219,            0.014427,           0.0031859,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057924,           0.0057924,           0.0057924
                  14,            0.034355,             0.01437,           0.0031104,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054759,           0.0054759,           0.0054759
                  15,            0.034234,            0.014417,           0.0028793,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051594,           0.0051594,           0.0051594
                  16,            0.033883,             0.01444,           0.0028231,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048429,           0.0048429,           0.0048429
                  17,            0.033309,            0.014079,           0.0028494,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045265,           0.0045265,           0.0045265
                  18,            0.032708,            0.013817,           0.0025752,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00421,             0.00421,             0.00421
                  19,            0.032681,            0.013701,           0.0027597,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038935,           0.0038935,           0.0038935
                  20,            0.032767,            0.014086,           0.0025983,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035771,           0.0035771,           0.0035771
                  21,            0.032007,            0.013782,           0.0026057,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032606,           0.0032606,           0.0032606
                  22,            0.031372,            0.013308,           0.0024127,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029441,           0.0029441,           0.0029441
                  23,            0.031401,            0.013131,           0.0024569,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026277,           0.0026277,           0.0026277
                  24,            0.031304,            0.013421,           0.0023725,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023112,           0.0023112,           0.0023112
                  25,            0.030946,            0.013538,           0.0022793,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019947,           0.0019947,           0.0019947
                  26,            0.030518,            0.013214,           0.0020779,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016782,           0.0016782,           0.0016782
                  27,            0.030234,            0.013098,            0.002169,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013618,           0.0013618,           0.0013618
                  28,             0.03045,            0.013466,           0.0021625,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010453,           0.0010453,           0.0010453
                  29,             0.03017,            0.013138,           0.0019683,             0.91344,             0.60741,              0.6835,             0.39975,             0.02991,            0.012634,           0.0019774,          0.00072884,          0.00072884,          0.00072884
                   0,             0.10542,            0.020305,            0.032867,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026032,           0.0026032,            0.074583
                   1,            0.080306,            0.015658,            0.018512,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050375,           0.0050375,             0.04901
                   2,            0.074366,            0.013997,            0.013039,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073002,           0.0073002,            0.023265
                   3,            0.069402,            0.013694,            0.010015,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083815,           0.0083815,           0.0083815
                   4,            0.065555,              0.0138,           0.0080716,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083815,           0.0083815,           0.0083815
